C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00000 | Time(s) nan | Loss 1.9459 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.9396 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.9329 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0409 | Loss 1.9179 | Accuracy 0.8892 | ETputs(KTEPS) 258.16
Epoch 00004 | Time(s) 0.0414 | Loss 1.9141 | Accuracy 0.8892 | ETputs(KTEPS) 255.05
Epoch 00005 | Time(s) 0.0426 | Loss 1.9107 | Accuracy 0.8892 | ETputs(KTEPS) 248.07
Epoch 00006 | Time(s) 0.0424 | Loss 1.8968 | Accuracy 0.8892 | ETputs(KTEPS) 249.04
Epoch 00007 | Time(s) 0.0421 | Loss 1.8811 | Accuracy 0.8892 | ETputs(KTEPS) 250.81
Epoch 00008 | Time(s) 0.0426 | Loss 1.8781 | Accuracy 0.8892 | ETputs(KTEPS) 248.07
Epoch 00009 | Time(s) 0.0443 | Loss 1.8710 | Accuracy 0.8892 | ETputs(KTEPS) 238.24
Epoch 00010 | Time(s) 0.0494 | Loss 1.8465 | Accuracy 0.8892 | ETputs(KTEPS) 213.82
Epoch 00011 | Time(s) 0.0504 | Loss 1.8108 | Accuracy 0.8892 | ETputs(KTEPS) 209.36
Epoch 00012 | Time(s) 0.0508 | Loss 1.8078 | Accuracy 0.8892 | ETputs(KTEPS) 207.94
Epoch 00013 | Time(s) 0.0544 | Loss 1.8313 | Accuracy 0.8892 | ETputs(KTEPS) 194.04
