C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00000 | Time(s) nan | Loss 1.9479 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.9375 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.9308 | Accuracy 0.8892 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0625 | Loss 1.9274 | Accuracy 0.8892 | ETputs(KTEPS) 168.94
Epoch 00004 | Time(s) 0.0474 | Loss 1.9147 | Accuracy 0.8892 | ETputs(KTEPS) 222.61
Epoch 00005 | Time(s) 0.0472 | Loss 1.9060 | Accuracy 0.8892 | ETputs(KTEPS) 223.48
Epoch 00006 | Time(s) 0.0471 | Loss 1.8987 | Accuracy 0.8892 | ETputs(KTEPS) 223.92
Epoch 00007 | Time(s) 0.0471 | Loss 1.8844 | Accuracy 0.8892 | ETputs(KTEPS) 224.19
Epoch 00008 | Time(s) 0.0497 | Loss 1.8687 | Accuracy 0.8892 | ETputs(KTEPS) 212.60
Epoch 00009 | Time(s) 0.0515 | Loss 1.8659 | Accuracy 0.8892 | ETputs(KTEPS) 205.03
Epoch 00010 | Time(s) 0.0530 | Loss 1.8505 | Accuracy 0.8892 | ETputs(KTEPS) 199.19
Epoch 00011 | Time(s) 0.0558 | Loss 1.8508 | Accuracy 0.8892 | ETputs(KTEPS) 189.23
Epoch 00012 | Time(s) 0.0549 | Loss 1.8196 | Accuracy 0.8892 | ETputs(KTEPS) 192.30
Epoch 00013 | Time(s) 0.0556 | Loss 1.8148 | Accuracy 0.8892 | ETputs(KTEPS) 189.92
Epoch 00014 | Time(s) 0.0562 | Loss 1.7836 | Accuracy 0.8892 | ETputs(KTEPS) 187.97
Epoch 00015 | Time(s) 0.0554 | Loss 1.7801 | Accuracy 0.8892 | ETputs(KTEPS) 190.39
Epoch 00016 | Time(s) 0.0559 | Loss 1.7268 | Accuracy 0.8892 | ETputs(KTEPS) 188.68
Epoch 00017 | Time(s) 0.0574 | Loss 1.7091 | Accuracy 0.8892 | ETputs(KTEPS) 183.82
Epoch 00018 | Time(s) 0.0578 | Loss 1.6651 | Accuracy 0.8892 | ETputs(KTEPS) 182.59
Epoch 00019 | Time(s) 0.0579 | Loss 1.6895 | Accuracy 0.8892 | ETputs(KTEPS) 182.40
Epoch 00020 | Time(s) 0.0573 | Loss 1.6197 | Accuracy 0.8892 | ETputs(KTEPS) 184.35
Epoch 00021 | Time(s) 0.0577 | Loss 1.5936 | Accuracy 0.8892 | ETputs(KTEPS) 183.10
Epoch 00022 | Time(s) 0.0579 | Loss 1.6181 | Accuracy 0.8892 | ETputs(KTEPS) 182.34
Epoch 00023 | Time(s) 0.0574 | Loss 1.5383 | Accuracy 0.8892 | ETputs(KTEPS) 184.01
Epoch 00024 | Time(s) 0.0576 | Loss 1.5216 | Accuracy 0.8892 | ETputs(KTEPS) 183.26
Epoch 00025 | Time(s) 0.0571 | Loss 1.3955 | Accuracy 0.8892 | ETputs(KTEPS) 184.76
Epoch 00026 | Time(s) 0.0568 | Loss 1.4774 | Accuracy 0.8892 | ETputs(KTEPS) 185.87
Epoch 00027 | Time(s) 0.0564 | Loss 1.3798 | Accuracy 0.8892 | ETputs(KTEPS) 187.18
Epoch 00028 | Time(s) 0.0569 | Loss 1.4365 | Accuracy 0.8892 | ETputs(KTEPS) 185.58
Epoch 00029 | Time(s) 0.0568 | Loss 1.3424 | Accuracy 0.8892 | ETputs(KTEPS) 185.80
Epoch 00030 | Time(s) 0.0570 | Loss 1.2838 | Accuracy 0.8892 | ETputs(KTEPS) 185.15
Epoch 00031 | Time(s) 0.0567 | Loss 1.2869 | Accuracy 0.8892 | ETputs(KTEPS) 186.29
Epoch 00032 | Time(s) 0.0564 | Loss 1.1600 | Accuracy 0.8892 | ETputs(KTEPS) 187.14
Epoch 00033 | Time(s) 0.0561 | Loss 1.0661 | Accuracy 0.8892 | ETputs(KTEPS) 188.17
Epoch 00034 | Time(s) 0.0558 | Loss 1.0461 | Accuracy 0.8892 | ETputs(KTEPS) 189.14
Epoch 00035 | Time(s) 0.0555 | Loss 0.9104 | Accuracy 0.8892 | ETputs(KTEPS) 190.06
Epoch 00036 | Time(s) 0.0558 | Loss 0.6824 | Accuracy 0.8892 | ETputs(KTEPS) 189.21
Epoch 00037 | Time(s) 0.0555 | Loss 0.6305 | Accuracy 0.8892 | ETputs(KTEPS) 190.13
