C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00000 | Time(s) nan | Loss 1.7888 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.7842 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7870 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0625 | Loss 1.7822 | Accuracy 0.8497 | ETputs(KTEPS) 147.69
Epoch 00004 | Time(s) 0.0703 | Loss 1.7648 | Accuracy 0.8497 | ETputs(KTEPS) 131.28
Epoch 00005 | Time(s) 0.0677 | Loss 1.7631 | Accuracy 0.8497 | ETputs(KTEPS) 136.32
Epoch 00006 | Time(s) 0.0664 | Loss 1.7638 | Accuracy 0.8497 | ETputs(KTEPS) 138.99
Epoch 00007 | Time(s) 0.0687 | Loss 1.7505 | Accuracy 0.8497 | ETputs(KTEPS) 134.25
Epoch 00008 | Time(s) 0.0677 | Loss 1.7552 | Accuracy 0.8497 | ETputs(KTEPS) 136.30
Epoch 00009 | Time(s) 0.0670 | Loss 1.6992 | Accuracy 0.8497 | ETputs(KTEPS) 137.82
Epoch 00010 | Time(s) 0.0664 | Loss 1.7468 | Accuracy 0.8497 | ETputs(KTEPS) 138.98
Epoch 00011 | Time(s) 0.0660 | Loss 1.7415 | Accuracy 0.8497 | ETputs(KTEPS) 139.90
Epoch 00012 | Time(s) 0.0658 | Loss 1.7400 | Accuracy 0.8497 | ETputs(KTEPS) 140.18
Epoch 00013 | Time(s) 0.0655 | Loss 1.7285 | Accuracy 0.8497 | ETputs(KTEPS) 140.83
Epoch 00014 | Time(s) 0.0654 | Loss 1.6947 | Accuracy 0.8497 | ETputs(KTEPS) 141.10
Epoch 00015 | Time(s) 0.0652 | Loss 1.7220 | Accuracy 0.8497 | ETputs(KTEPS) 141.58
Epoch 00016 | Time(s) 0.0653 | Loss 1.6408 | Accuracy 0.8497 | ETputs(KTEPS) 141.42
Epoch 00017 | Time(s) 0.0640 | Loss 1.7212 | Accuracy 0.8497 | ETputs(KTEPS) 144.12
Epoch 00018 | Time(s) 0.0641 | Loss 1.6806 | Accuracy 0.8497 | ETputs(KTEPS) 144.04
