C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00000 | Time(s) nan | Loss 1.7989 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.7925 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7900 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0568 | Loss 1.7823 | Accuracy 0.8497 | ETputs(KTEPS) 162.33
Epoch 00004 | Time(s) 0.0589 | Loss 1.7697 | Accuracy 0.8497 | ETputs(KTEPS) 156.80
Epoch 00005 | Time(s) 0.0569 | Loss 1.7732 | Accuracy 0.8497 | ETputs(KTEPS) 162.31
Epoch 00006 | Time(s) 0.0554 | Loss 1.7552 | Accuracy 0.8497 | ETputs(KTEPS) 166.70
Epoch 00007 | Time(s) 0.0567 | Loss 1.7544 | Accuracy 0.8497 | ETputs(KTEPS) 162.87
Epoch 00008 | Time(s) 0.0567 | Loss 1.7623 | Accuracy 0.8497 | ETputs(KTEPS) 162.78
Epoch 00009 | Time(s) 0.0563 | Loss 1.7648 | Accuracy 0.8497 | ETputs(KTEPS) 163.95
Epoch 00010 | Time(s) 0.0561 | Loss 1.7191 | Accuracy 0.8497 | ETputs(KTEPS) 164.47
Epoch 00011 | Time(s) 0.0557 | Loss 1.7535 | Accuracy 0.8497 | ETputs(KTEPS) 165.54
Epoch 00012 | Time(s) 0.0555 | Loss 1.7373 | Accuracy 0.8497 | ETputs(KTEPS) 166.40
Epoch 00013 | Time(s) 0.0553 | Loss 1.7169 | Accuracy 0.8497 | ETputs(KTEPS) 166.84
Epoch 00014 | Time(s) 0.0570 | Loss 1.7116 | Accuracy 0.8497 | ETputs(KTEPS) 161.84
Epoch 00015 | Time(s) 0.0571 | Loss 1.6926 | Accuracy 0.8497 | ETputs(KTEPS) 161.66
Epoch 00016 | Time(s) 0.0568 | Loss 1.7057 | Accuracy 0.8497 | ETputs(KTEPS) 162.52
Epoch 00017 | Time(s) 0.0565 | Loss 1.6634 | Accuracy 0.8497 | ETputs(KTEPS) 163.27
Epoch 00018 | Time(s) 0.0565 | Loss 1.6811 | Accuracy 0.8497 | ETputs(KTEPS) 163.21
Epoch 00019 | Time(s) 0.0570 | Loss 1.6631 | Accuracy 0.8497 | ETputs(KTEPS) 161.81
Epoch 00020 | Time(s) 0.0572 | Loss 1.6758 | Accuracy 0.8497 | ETputs(KTEPS) 161.37
Epoch 00021 | Time(s) 0.0574 | Loss 1.7117 | Accuracy 0.8497 | ETputs(KTEPS) 160.83
Epoch 00022 | Time(s) 0.0574 | Loss 1.6444 | Accuracy 0.8497 | ETputs(KTEPS) 160.91
Epoch 00023 | Time(s) 0.0574 | Loss 1.6023 | Accuracy 0.8497 | ETputs(KTEPS) 160.84
Epoch 00024 | Time(s) 0.0574 | Loss 1.6151 | Accuracy 0.8497 | ETputs(KTEPS) 160.78
Epoch 00025 | Time(s) 0.0573 | Loss 1.5520 | Accuracy 0.8497 | ETputs(KTEPS) 160.97
Epoch 00026 | Time(s) 0.0573 | Loss 1.6699 | Accuracy 0.8497 | ETputs(KTEPS) 161.02
Epoch 00027 | Time(s) 0.0574 | Loss 1.5901 | Accuracy 0.8497 | ETputs(KTEPS) 160.85
Epoch 00028 | Time(s) 0.0574 | Loss 1.5594 | Accuracy 0.8497 | ETputs(KTEPS) 160.69
Epoch 00029 | Time(s) 0.0576 | Loss 1.6742 | Accuracy 0.8497 | ETputs(KTEPS) 160.24
Epoch 00030 | Time(s) 0.0576 | Loss 1.6139 | Accuracy 0.8497 | ETputs(KTEPS) 160.21
Epoch 00031 | Time(s) 0.0576 | Loss 1.6060 | Accuracy 0.8497 | ETputs(KTEPS) 160.19
Epoch 00032 | Time(s) 0.0576 | Loss 1.4627 | Accuracy 0.8497 | ETputs(KTEPS) 160.26
Epoch 00033 | Time(s) 0.0576 | Loss 1.5416 | Accuracy 0.8497 | ETputs(KTEPS) 160.23
Epoch 00034 | Time(s) 0.0576 | Loss 1.5750 | Accuracy 0.8497 | ETputs(KTEPS) 160.21
Epoch 00035 | Time(s) 0.0576 | Loss 1.5104 | Accuracy 0.8497 | ETputs(KTEPS) 160.27
Epoch 00036 | Time(s) 0.0576 | Loss 1.4858 | Accuracy 0.8497 | ETputs(KTEPS) 160.25
Epoch 00037 | Time(s) 0.0576 | Loss 1.4892 | Accuracy 0.8497 | ETputs(KTEPS) 160.31
Epoch 00038 | Time(s) 0.0576 | Loss 1.5634 | Accuracy 0.8497 | ETputs(KTEPS) 160.29
Epoch 00039 | Time(s) 0.0575 | Loss 1.5227 | Accuracy 0.8497 | ETputs(KTEPS) 160.42
Epoch 00040 | Time(s) 0.0576 | Loss 1.4516 | Accuracy 0.8497 | ETputs(KTEPS) 160.32
Epoch 00041 | Time(s) 0.0577 | Loss 1.5645 | Accuracy 0.8497 | ETputs(KTEPS) 159.80
Epoch 00042 | Time(s) 0.0578 | Loss 1.4548 | Accuracy 0.8497 | ETputs(KTEPS) 159.73
Epoch 00043 | Time(s) 0.0578 | Loss 1.3738 | Accuracy 0.8497 | ETputs(KTEPS) 159.79
Epoch 00044 | Time(s) 0.0578 | Loss 1.4910 | Accuracy 0.8497 | ETputs(KTEPS) 159.72
Epoch 00045 | Time(s) 0.0578 | Loss 1.1837 | Accuracy 0.8497 | ETputs(KTEPS) 159.71
Epoch 00046 | Time(s) 0.0578 | Loss 1.3901 | Accuracy 0.8497 | ETputs(KTEPS) 159.77
Epoch 00047 | Time(s) 0.0578 | Loss 1.3016 | Accuracy 0.8497 | ETputs(KTEPS) 159.77
Epoch 00048 | Time(s) 0.0577 | Loss 1.3388 | Accuracy 0.8497 | ETputs(KTEPS) 159.82
Epoch 00049 | Time(s) 0.0577 | Loss 1.4159 | Accuracy 0.8497 | ETputs(KTEPS) 159.82
Epoch 00050 | Time(s) 0.0578 | Loss 1.3601 | Accuracy 0.8497 | ETputs(KTEPS) 159.75
Epoch 00051 | Time(s) 0.0577 | Loss 1.1949 | Accuracy 0.8497 | ETputs(KTEPS) 159.80
Epoch 00052 | Time(s) 0.0578 | Loss 1.1495 | Accuracy 0.8497 | ETputs(KTEPS) 159.74
Epoch 00053 | Time(s) 0.0580 | Loss 1.3328 | Accuracy 0.8497 | ETputs(KTEPS) 158.99
Epoch 00054 | Time(s) 0.0580 | Loss 1.1696 | Accuracy 0.8497 | ETputs(KTEPS) 159.05
Epoch 00055 | Time(s) 0.0581 | Loss 1.1534 | Accuracy 0.8497 | ETputs(KTEPS) 158.95
