C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00000 | Time(s) nan | Loss 1.8041 | Accuracy 0.1503 | ETputs(KTEPS) nan
Epoch 00001 | Time(s) nan | Loss 1.7900 | Accuracy 1.0000 | ETputs(KTEPS) nan
Epoch 00002 | Time(s) nan | Loss 1.7833 | Accuracy 0.8497 | ETputs(KTEPS) nan
Epoch 00003 | Time(s) 0.0439 | Loss 1.7776 | Accuracy 0.8497 | ETputs(KTEPS) 210.28
Epoch 00004 | Time(s) 0.0454 | Loss 1.7791 | Accuracy 0.8497 | ETputs(KTEPS) 203.35
Epoch 00005 | Time(s) 0.0456 | Loss 1.7629 | Accuracy 0.8497 | ETputs(KTEPS) 202.58
Epoch 00006 | Time(s) 0.0469 | Loss 1.7573 | Accuracy 0.8497 | ETputs(KTEPS) 196.84
Epoch 00007 | Time(s) 0.0479 | Loss 1.7565 | Accuracy 0.8497 | ETputs(KTEPS) 192.74
Epoch 00008 | Time(s) 0.0474 | Loss 1.7528 | Accuracy 0.8497 | ETputs(KTEPS) 194.77
Epoch 00009 | Time(s) 0.0473 | Loss 1.7418 | Accuracy 0.8497 | ETputs(KTEPS) 195.07
Epoch 00010 | Time(s) 0.0469 | Loss 1.7440 | Accuracy 0.8497 | ETputs(KTEPS) 196.85
Epoch 00011 | Time(s) 0.0467 | Loss 1.7338 | Accuracy 0.8497 | ETputs(KTEPS) 197.79
Epoch 00012 | Time(s) 0.0481 | Loss 1.7211 | Accuracy 0.8497 | ETputs(KTEPS) 191.95
Epoch 00013 | Time(s) 0.0486 | Loss 1.7300 | Accuracy 0.8497 | ETputs(KTEPS) 190.05
Epoch 00014 | Time(s) 0.0497 | Loss 1.7169 | Accuracy 0.8497 | ETputs(KTEPS) 185.81
